grant_year,grantee_name,grant_amount,grantee_location,grant_purpose,grantee_url,grantee_logo_path,grantor_program
2013-2014,Leukemia & Lymphoma Society ,1000,"Pittsfield, MA ",Directors Dlscrelionary or Matching Grant ,,,
2013-2014,Ufeline Theatre ,5000,"Chicago, IL ",Monstrous Regiment by Terry Pratchett ,,,
2013-2014,Light Opera Works ,1000,"Wilmette, IL ",Directors Discretionary or Matching Grant ,,,
2013-2014,Ught Opera Works ,5000,"Wilmette, IL ",The Merry Widow December 2014,,,
2013-2014,Light Opera Works ,1000,"Wilmette, IL ",Directors Discretionary or Matching Grant ,,,
2013-2014,Looklngglass Theatre ,10000,"Chicagol, IL ",In the Garden: A Darwinian Love Story ,,,
2013-2014,Lucky Plush Productions ,3000,"Riverside, IL ",The Queue-May 2014,,,
2013-2014,Lyric Opera of Chicago ,100000,"Chicago, IL ",Ryan Opera Center ,,,
2013-2014,LYric Opera of Chicago ,10000,"Chicago, IL ",Directors Discretionary or Matching Grant ,,,
2013-2014,McCallum Theatre ,1000,"Palm Desert, CA ",Directors Dlscrellonary or Matching Grant ,,,
2013-2014,MemOrial Art Gallery ,5000,"Rochester, NY ",Centennial Anniversary ,,,
2013-2014,Ment MusIc Program ,14000,"Chicago, IL ",Directors Dlscrellonary or Matching Grant ,,,
2013-2014,Ment Music Program ,10000,"Chicago, IL ",artist in residence program ,,,
2013-2014,Museum of Contemporary Photography ,5000,"Chicag, IL ",Michael Schmelling exhibit/publication ,,,
2013-2014,Music Institute of Chicago ,5000,"Wilmette, IL ",2014-15 concert senes,,,
2013-2014,MusIc Institute of Chicago ,1000,"Wilmette, IL ",Directors Discretionary or Matching Grant ,,,
2013-2014,MusIc of the Baroque ,15000,"Chicago, IL ",Handel's Rival Queens ,,,
2013-2014,Next Theatre ,5000,"Evanston, IL ",Great God Pan and 22 Mistakes,,,
2013-2014,Northlight Theater ,5000,"Skokie, IL ",DetrOIt '67 support,,,
2013-2014,Northwestem Umverslty ,4000,"Evanston, IL ",School of Music ,,,
2013-2014,Northwestern UnIversIty ,1000,"Evanston, IL ",Charnber MusIc Festival and Other Projects ,,,
2013-2014,Northwestern UnIversIty ,9000,"Evanston, IL ",School of MusIc ,,,
2013-2014,Northwestern University ,1000,"Evanston, IL ",Department of AthletIcs ,,,
2013-2014,Northwestern UnIversity Library ,5000,"Evanston, IL ",Directors DIscretIonary or Matching Grant ,,,
2013-2014,Northwestern Untversity ,1000,"Evanston, IL ",School of CommunIcatIons ,,,
2013-2014,Over The Rainbow AsSOCIatIon ,1000,"Evanston, IL ",DIrectors DiscretIonary or MatchIng Grant ,,,
2013-2014,People's MUSIC School ,2000,"Chicago, IL ",Directors DiscretIonary or MatchIng Grant ,,,
2013-2014,Porchhght MUSIC Theatre ,5000,"ChIcago, IL ",Ain't Mlsbehavln' ,,,
2013-2014,Ravlnta FestIval ,40000,"Highland Park, IL ",Emerson Quartet and Matsuev concerts ,,,
2013-2014,RaVinIa FestIval ,4000,"HIghland Park, IL ",DIrectors DIscretIonary or MatchIng Grant ,,,
2013-2014,Ravinia Festival ,5000,"Highland Park, IL ",Directors DiscretIonary or Matching Grant ,,,
2013-2014,Rembrandt Chamber Players ,1000,"ChIcago, IL ",DIrectors Discretionary or MatchIng Grant ,,,
2013-2014,Rembrandt Chamber Players ,5000,"ChIcago, IL ",25th anntversary season,,,
2013-2014,Rlvendell Theatre ,3500,"Chicago, IL ",Rasheeda SpeakIng by Joel Drake ,,,
2013-2014,RIver North Chicago ,5000,"ChIcago, IL ","""Flesh by Ivan Perez Apnl, 2014",,,
2013-2014,Rochester CIty Ballet ,1500,"Rochester, NY ",DIrectors Discretionary or MatchIng Grant ,,,
2013-2014,Rochester HIstorical SocIety ,1000,"Rochester, NY ",DIrectors DiscretIonary or MatchIng Grant ,,,
2013-2014,Rochester PhIlharmonic Orchestra ,3500,"Rochester, NY ",DIrectors DIscretIonary or MatchIng Grant ,,,
2013-2014,Roosevelt Untverslty ,10000,"ChIcago, IL ",WFMT broadcasts 2014-2015,,,
2013-2014,Rush Hour Concerts ,5000,"ChIcago, IL ","concert support July 15, 2014",,,
2013-2014,SIxteenth Street Theatre ,3500,"Berwyn, IL ",support for Plnkolandia by Andrea Thome ,,,
2013-2014,Slover l..Jbrary FoundatIon ,2500,"Norfolk, VA ",DIrectors DIscretionary or Matching Grant ,,,
2013-2014,St Charles Singers ,4000,"SI. Charles, IL ",The Mozart Journey ,,,
2013-2014,Steppenwolf Theatre ,50000,"Chicago, IL ",Mona Monsour's The Way West support ,,,
2013-2014,The House Theatre ,3500,"ChIcago, IL ",The PIcture of Dorian Gray -WIlde ,,,
2013-2014,The Hypocntes ,3500,"ChIcago, IL ",Into the Woods ,,,
2013-2014,Theater Wit ,3500,"Chicago, IL ",7 Homeless Mammoths Wander New England,,,
2013-2014,Third Coast Percussion ,4000,"ChIcago, IL ",Logan Center Concert Fall2014,,,
2013-2014,Thodos Dance ChIcago ,3000,"Chicago, IL ",14th Annual New Dances july 2014,,,
2013-2014,Tlmehne Theatre ,3500,"ChIcago, IL ",Juno by Joseph Stein ,,,
2013-2014,Untversity of ChIcago Presents ,12000,"Chicago, IL ",Centenary Weekend concerts ,,,
2013-2014,University of MichIgan ,1000,"Ann Arbor, MI ",DIrectors DIscretIonary or Matching Grant ,,,
2013-2014,Victory Gardens Theater ,10000,"Chicago, IL ",Death and the Malden by Anel Dorfman ,,,
2013-2014,"WBEZ Alliance, Inc. ",1000,"ChIcago, IL ",DIrectors DIscretionary or Matching Grant ,,,
2013-2014,Windows To The World ,100000,"ChIcago, IL ",WFMT Impromptu and Live from WFMT ,,,
2013-2014,Windows To The World ,5000,"ChIcago, IL ",WFMT Black Dog Fund ,,,
2013-2014,Windows To The World ,2500,"ChIcago, IL ",DIrectors DIscretionary or Matching Grant ,,,
2013-2014,Writers' Theatre Chicago ,20000,"Glencoe, IL ",Port Authonty and Dance of Death ,,,
